ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781609153485329475,2026-06-16T18:25:53.485354,ground_truth,0.174880,0.017000,0.016152,True,,,,,,,,,-0.161993,0.280049,0.378523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.154000,0.056938,-0.024768,0.022880,-0.015872
1781609153517230540,2026-06-16T18:25:53.517264,ground_truth,0.175352,0.008000,0.015704,True,,,,,,,,,-0.161993,0.280049,0.378523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.154000,0.056938,-0.024896,0.023392,-0.016096
1781609153548651209,2026-06-16T18:25:53.548671,ground_truth,0.174880,0.017000,0.016152,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.154000,0.056938,-0.025824,0.022432,-0.015584
1781609153583110325,2026-06-16T18:25:53.583140,ground_truth,0.174880,0.017000,0.016152,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.155820,0.058183,-0.025824,0.022656,-0.015872
1781609153617912752,2026-06-16T18:25:53.617954,ground_truth,0.174409,0.026000,0.016600,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.154560,0.058183,-0.026272,0.022656,-0.015872
1781609153654670327,2026-06-16T18:25:53.654705,ground_truth,0.175771,-0.000000,0.015306,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.154560,0.058183,-0.026272,0.022656,-0.015872
1781609153698993998,2026-06-16T18:25:53.699020,ground_truth,0.177658,-0.036000,0.017399,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.154560,0.058183,-0.026272,0.022656,-0.015872
1781609153732680627,2026-06-16T18:25:53.732703,ground_truth,0.174409,0.026000,0.020384,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.154560,0.056440,-0.026400,0.022560,-0.015584
1781609153763737417,2026-06-16T18:25:53.763771,ground_truth,0.175352,0.008000,0.019517,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.156520,0.057104,-0.026720,0.022336,-0.015872
1781609153794670648,2026-06-16T18:25:53.794694,ground_truth,0.174880,0.017000,0.023749,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.155260,0.057104,-0.027328,0.022720,-0.016160
1781609153826195191,2026-06-16T18:25:53.826217,ground_truth,0.175771,-0.000000,0.022959,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.155260,0.057104,-0.027328,0.022720,-0.016160
1781609153861233798,2026-06-16T18:25:53.861274,ground_truth,0.173989,0.034000,0.032081,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.155260,0.057104,-0.027328,0.022720,-0.016160
1781609153898079282,2026-06-16T18:25:53.898100,ground_truth,0.175771,-0.000000,0.034438,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.155260,0.057104,-0.027328,0.022720,-0.016160
1781609153928793519,2026-06-16T18:25:53.928816,ground_truth,0.174409,0.026000,0.043086,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.155260,0.058349,-0.027456,0.022336,-0.016160
1781609153960321481,2026-06-16T18:25:53.960339,ground_truth,0.175352,0.008000,0.046210,True,,,,,,,,,-0.161988,0.280061,0.378524,0.003051,0.004796,0.013086,0.024426,0.032284,0.021375,-0.076160,-0.259980,0.001577,-0.080704,0.046528,0.030624
1781609153995802493,2026-06-16T18:25:53.995819,ground_truth,0.175771,-0.000000,0.049744,True,,,,,,,,,-0.161988,0.280061,0.378524,0.004796,0.006540,0.014833,0.021375,0.037523,0.023995,-0.080500,-0.248220,-0.004482,-0.078976,0.044480,0.033504
1781609154025410513,2026-06-16T18:25:54.025436,ground_truth,0.173518,0.043000,0.051249,True,,,,,,,,,-0.161988,0.280061,0.378524,0.004796,0.004796,0.014833,0.021375,0.040573,0.024426,-0.077420,-0.252840,0.005727,-0.083552,0.045920,0.032512
1781609154054361596,2026-06-16T18:25:54.054388,ground_truth,0.174409,0.026000,0.054437,True,,,,,,,,,-0.161988,0.280061,0.378524,0.004796,0.004796,0.014833,0.024426,0.040573,0.026614,-0.076160,-0.246680,0.002241,-0.083712,0.046880,0.032736
1781609154082836523,2026-06-16T18:25:54.082858,ground_truth,0.173518,0.043000,0.058760,True,,,,,,,,,-0.161988,0.280061,0.378524,0.004796,0.004796,0.014833,0.024426,0.037523,0.024426,-0.078960,-0.246960,0.003652,-0.078208,0.039584,0.031168
1781609154111566576,2026-06-16T18:25:54.111586,ground_truth,0.174880,0.017000,0.057936,True,,,,,,,,,-0.161988,0.280061,0.378524,0.004796,0.004796,0.013086,0.023995,0.037523,0.024426,-0.075600,-0.248220,0.005893,-0.078432,0.039808,0.032000
1781609154144766850,2026-06-16T18:25:54.144783,ground_truth,0.173098,0.051000,0.062757,True,,,,,,,,,-0.161988,0.280061,0.378524,0.003051,0.003051,0.010907,0.018756,0.029665,0.018756,-0.074060,-0.234640,0.007221,-0.073088,0.040416,0.029664
1781609154177691096,2026-06-16T18:25:54.177712,ground_truth,0.175352,0.008000,0.061464,True,,,,,,,,,-0.161988,0.280061,0.378524,0.003051,0.003051,0.010907,0.018756,0.029665,0.018756,-0.074060,-0.234640,0.007221,-0.073088,0.040416,0.029664
1781609154212247678,2026-06-16T18:25:54.212276,ground_truth,0.171544,0.008000,0.061464,True,,,,,,,,,-0.161988,0.280061,0.378524,0.003051,0.003051,0.010907,0.018756,0.029665,0.018756,-0.074060,-0.234640,0.007221,-0.073088,0.040416,0.029664
1781609154242796873,2026-06-16T18:25:54.242816,ground_truth,0.171950,-0.000000,0.061223,True,,,,,,,,,-0.161988,0.280061,0.378524,0.003051,0.003051,0.010907,0.018756,0.029665,0.018756,-0.074060,-0.234640,0.007221,-0.073088,0.040416,0.029664
1781609154275809752,2026-06-16T18:25:54.275830,ground_truth,0.169767,0.043000,0.062516,True,,,,,,,,,-0.161988,0.280061,0.378524,0.003051,0.003051,0.010907,0.018756,0.029665,0.018756,-0.074060,-0.234640,0.007221,-0.073088,0.040416,0.029664
1781609154309070734,2026-06-16T18:25:54.309094,ground_truth,0.170224,0.034000,0.066016,True,,,,,,,,,-0.161988,0.280061,0.378524,0.003051,0.003051,0.010907,0.018756,0.029665,0.018756,-0.074060,-0.234640,0.007221,-0.073088,0.040416,0.029664
1781609154349857038,2026-06-16T18:25:54.349872,ground_truth,0.169767,0.043000,0.066272,True,,,,,,,,,-0.161988,0.280061,0.378524,0.001307,0.000000,0.000000,0.000000,0.000000,0.000000,-0.081200,-0.238000,0.013280,-0.070528,0.030944,0.024992
1781609154380182834,2026-06-16T18:25:54.380196,ground_truth,0.167635,0.085000,0.067466,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.078680,-0.235200,0.013114,-0.068736,0.029280,0.024064
1781609154409326441,2026-06-16T18:25:54.409339,ground_truth,0.163560,0.093000,0.067693,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.078120,-0.233660,0.017762,-0.068288,0.028672,0.024608
