ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781609336617826318,2026-06-16T18:28:56.617849,prediction,0.189299,-0.036000,-0.009800,True,0.168886,0.044000,0.022861,0.020413,0.080000,0.032661,5.02,20,-0.161991,0.280056,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.147140,0.088727,-0.014080,0.023776,-0.009472
1781609336672817249,2026-06-16T18:28:56.672839,prediction,0.188783,-0.027000,-0.009263,True,0.165043,0.045800,0.022686,0.023740,0.072800,0.031949,5.58,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.147140,0.088727,-0.014080,0.023776,-0.009472
1781609336709839388,2026-06-16T18:28:56.709863,prediction,0.188267,-0.018000,-0.004870,True,0.165595,0.049040,0.026492,0.022672,0.067040,0.031363,8.43,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.147140,0.088727,-0.014080,0.023776,-0.009472
1781609336745896719,2026-06-16T18:28:56.745926,prediction,0.188267,-0.018000,-0.004870,True,0.169195,0.051632,0.027236,0.019072,0.069632,0.032107,8.31,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.149100,0.090138,-0.014656,0.023616,-0.008032
1781609336779142604,2026-06-16T18:28:56.779165,prediction,0.188267,-0.018000,-0.001014,True,0.169250,0.053706,0.029818,0.019017,0.071706,0.030832,4.95,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001820,-0.149100,0.091466,-0.014656,0.023936,-0.008640
1781609336817713634,2026-06-16T18:28:56.817732,prediction,0.189815,-0.045000,0.005265,True,0.173594,0.049479,0.035167,0.016220,0.094479,0.029903,5.21,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.149100,0.091300,-0.014816,0.023616,-0.008032
1781609336854989037,2026-06-16T18:28:56.855005,prediction,0.189299,-0.036000,0.005742,True,0.168680,0.048383,0.036177,0.020619,0.084383,0.030435,5.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.149940,0.089972,-0.014816,0.023776,-0.008032
1781609336888187182,2026-06-16T18:28:56.888212,prediction,0.193179,-0.036000,0.005742,True,0.172852,0.047507,0.038104,0.020327,0.083507,0.032362,4.73,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.151900,0.090304,-0.014816,0.023776,-0.008032
1781609336920994279,2026-06-16T18:28:56.921012,prediction,0.193710,-0.045000,0.005265,True,0.178991,0.039507,0.038776,0.014719,0.084507,0.033511,4.62,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.151900,0.091134,-0.015104,0.023616,-0.008032
1781609336951497525,2026-06-16T18:28:56.951517,prediction,0.193710,-0.045000,0.009165,True,0.180804,0.033257,0.042411,0.012906,0.078257,0.033246,4.76,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.151900,0.091134,-0.015104,0.023616,-0.008032
1781609336982417888,2026-06-16T18:28:56.982436,prediction,0.194299,-0.055000,0.012567,True,0.185594,0.025257,0.045167,0.008705,0.080257,0.032599,4.67,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.151900,0.091134,-0.015104,0.023616,-0.008032
1781609337015802709,2026-06-16T18:28:57.015823,prediction,0.194830,-0.064000,0.016051,True,0.188962,0.017257,0.046741,0.005869,0.081257,0.030690,4.24,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.151900,0.091134,-0.015104,0.023616,-0.008032
1781609337046449380,2026-06-16T18:28:57.046463,prediction,0.192648,-0.027000,0.017832,True,0.187556,0.024406,0.045736,0.005092,0.051406,0.027904,4.29,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.151900,0.091134,-0.015104,0.023616,-0.008032
1781609337077598003,2026-06-16T18:28:57.077612,prediction,0.193710,-0.045000,0.020866,True,0.185747,0.026525,0.047954,0.007962,0.071525,0.027088,4.37,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.151900,0.091134,-0.015104,0.023616,-0.008032
1781609337107241586,2026-06-16T18:28:57.107259,prediction,0.193710,-0.045000,0.028667,True,0.180028,0.028220,0.053144,0.013681,0.073220,0.024477,4.64,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.151900,0.091134,-0.015104,0.023616,-0.008032
1781609337157765147,2026-06-16T18:28:57.157788,prediction,0.198192,-0.121000,0.025382,True,0.176830,0.020220,0.055689,0.021362,0.141220,0.030306,7.82,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.152180,0.091300,-0.015104,0.023616,-0.007424
1781609337197322899,2026-06-16T18:28:57.197350,prediction,0.197071,-0.102000,0.034192,True,0.168830,0.012220,0.062975,0.028242,0.114220,0.028783,8.33,20,-0.161988,0.280061,0.378524,0.008285,0.003051,0.011339,0.043193,0.016137,0.045812,0.081480,-0.254380,0.182434,0.007200,0.044256,-0.039904
1781609337229196077,2026-06-16T18:28:57.229215,prediction,0.197602,-0.111000,0.037841,True,0.160830,0.004220,0.070899,0.036772,0.115220,0.033058,5.80,20,-0.161988,0.280061,0.378524,0.008285,0.004796,0.010907,0.040573,0.016137,0.048432,0.088620,-0.246960,0.187248,0.013024,0.044928,-0.039968
1781609337258900454,2026-06-16T18:28:57.258918,prediction,0.198782,-0.131000,0.041117,True,0.158898,-0.003780,0.077032,0.039884,0.127220,0.035916,4.27,20,-0.161988,0.280061,0.378524,0.008285,0.003489,0.011339,0.043193,0.018756,0.048863,0.088620,-0.248920,0.185588,0.011648,0.040704,-0.036192
1781609337295454428,2026-06-16T18:28:57.295480,prediction,0.197071,-0.102000,0.046174,True,0.150898,-0.007424,0.081875,0.046173,0.094576,0.035701,6.25,20,-0.161988,0.280061,0.378524,0.008285,0.003489,0.009599,0.043193,0.016137,0.048432,0.085820,-0.248920,0.185754,0.014432,0.042816,-0.037920
1781609337327891134,2026-06-16T18:28:57.327917,prediction,0.195361,-0.073000,0.051135,True,0.147063,-0.004540,0.088163,0.048298,0.068461,0.037028,7.48,20,-0.161988,0.280061,0.378524,0.006540,0.001744,0.009160,0.040142,0.016137,0.045812,0.085120,-0.252000,0.190734,0.010464,0.042752,-0.038080
1781609337365630016,2026-06-16T18:28:57.365670,prediction,0.204207,-0.223000,0.050324,True,0.148382,-0.012540,0.092054,0.055826,0.210461,0.041730,8.31,20,-0.161988,0.280061,0.378524,0.006540,0.003051,0.007413,0.040142,0.016137,0.043193,0.084840,-0.246960,0.194137,0.010368,0.042816,-0.037856
1781609337398621642,2026-06-16T18:28:57.398644,prediction,0.200551,-0.161000,0.052290,True,0.142815,-0.020540,0.094261,0.057735,0.140460,0.041971,8.42,20,-0.161988,0.280061,0.378524,0.006540,0.003051,0.007413,0.040142,0.016137,0.043193,0.084840,-0.246960,0.194137,0.010368,0.042816,-0.037856
1781609337443535873,2026-06-16T18:28:57.443559,prediction,0.192117,-0.018000,0.056826,True,0.136676,-0.012540,0.096345,0.055442,0.005461,0.039519,8.49,20,-0.160720,0.281346,0.379809,0.006540,0.003051,0.007413,0.040142,0.016137,0.043193,0.084840,-0.246960,0.194137,0.010368,0.042816,-0.037856
1781609337479148651,2026-06-16T18:28:57.479171,prediction,0.196482,-0.092000,0.062434,True,0.132637,-0.012432,0.097767,0.063845,0.079568,0.035333,8.03,20,-0.158930,0.283701,0.382961,0.006540,0.001744,0.007413,0.035335,0.013517,0.040573,0.075880,-0.245140,0.190236,0.010368,0.041088,-0.035232
1781609337511705019,2026-06-16T18:28:57.511732,prediction,0.195951,-0.083000,0.066653,True,0.129300,-0.010545,0.097359,0.066651,0.072455,0.030707,7.92,20,-0.158930,0.283701,0.382961,0.006540,0.001744,0.007413,0.035335,0.013517,0.040573,0.075880,-0.245140,0.190236,0.010368,0.041088,-0.035232
1781609337544086277,2026-06-16T18:28:57.544107,prediction,0.201141,-0.171000,0.068403,True,0.127668,-0.018545,0.097988,0.073473,0.152455,0.029585,7.82,20,-0.156597,0.286146,0.388279,0.006540,0.001744,0.007413,0.035335,0.013517,0.040573,0.075880,-0.245140,0.190236,0.010368,0.041088,-0.035232
1781609337581138506,2026-06-16T18:28:57.581152,prediction,0.195951,-0.083000,0.070615,True,0.125325,-0.015436,0.100216,0.070626,0.067564,0.029600,7.74,20,-0.156597,0.286146,0.388279,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.077700,-0.246960,0.185588,0.006976,0.039424,-0.034304
1781609337607855973,2026-06-16T18:28:57.607875,prediction,0.190904,-0.064000,0.075025,True,0.122440,-0.009149,0.101872,0.068464,0.054851,0.026847,4.99,20,-0.153582,0.288142,0.395661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068460,-0.234360,0.167826,-0.001280,0.031840,-0.024832
1781609337643915684,2026-06-16T18:28:57.643930,prediction,0.191420,-0.073000,0.078760,True,0.120236,-0.005919,0.103403,0.071184,0.067081,0.024643,7.99,20,-0.153582,0.288142,0.395661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065380,-0.230300,0.162514,-0.003968,0.029280,-0.022272
1781609337676688861,2026-06-16T18:28:57.676713,prediction,0.181966,0.026000,0.080923,True,0.116582,0.002081,0.107190,0.065383,0.023919,0.026267,7.87,20,-0.149469,0.288998,0.404637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065380,-0.229320,0.161518,-0.004960,0.028384,-0.021056
