ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781599897394123195,2026-06-16T15:51:37.394148,prediction,0.153020,-0.069500,-0.027624,True,0.152178,0.010500,0.006500,0.000842,0.080000,0.034124,7.91,20,-0.161989,0.280058,0.378522,0.001307,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013580,-0.182560,0.085490,-0.014752,0.011744,-0.005344
1781599897434859692,2026-06-16T15:51:37.434873,prediction,0.153204,-0.074000,-0.027914,True,0.152007,0.009600,0.005308,0.001197,0.083600,0.033222,7.39,20,-0.161784,0.285030,0.379012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015120,-0.183400,0.084328,-0.014880,0.012416,-0.006304
1781599897470719220,2026-06-16T15:51:37.470740,prediction,0.152426,-0.055000,-0.026688,True,0.149432,0.012680,0.004763,0.002994,0.067680,0.031450,7.46,20,-0.161784,0.285030,0.379012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015120,-0.183120,0.084328,-0.014880,0.012416,-0.006304
1781599897504147685,2026-06-16T15:51:37.504166,prediction,0.153982,-0.093000,-0.029141,True,0.148312,0.007544,0.005202,0.005669,0.100544,0.034343,7.03,20,-0.161822,0.284088,0.378919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015120,-0.182560,0.084328,-0.014880,0.012256,-0.006304
1781599897528707106,2026-06-16T15:51:37.528720,prediction,0.152836,-0.065000,-0.027333,True,0.140312,0.009035,0.005142,0.012523,0.074035,0.032475,3.91,20,-0.161822,0.284088,0.378919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015120,-0.182560,0.084328,-0.014880,0.012256,-0.006304
1781599897562097284,2026-06-16T15:51:37.562118,prediction,0.152058,-0.046000,-0.026106,True,0.136445,0.014028,0.008110,0.015613,0.060028,0.034216,4.09,20,-0.161822,0.284088,0.378919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015120,-0.182560,0.084328,-0.014880,0.012256,-0.006304
1781599897594368446,2026-06-16T15:51:37.594388,prediction,0.153409,-0.079000,-0.028237,True,0.139262,0.011423,0.010260,0.014147,0.090423,0.038497,4.11,20,-0.161822,0.284088,0.378919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015120,-0.182560,0.084328,-0.014880,0.012256,-0.006304
1781599897624800868,2026-06-16T15:51:37.624818,prediction,0.152058,-0.046000,-0.026106,True,0.131262,0.015938,0.011096,0.020796,0.061938,0.037202,4.26,20,-0.161822,0.284088,0.378919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014140,-0.180320,0.085656,-0.014880,0.012032,-0.005344
1781599897658176912,2026-06-16T15:51:37.658209,prediction,0.151280,-0.027000,-0.024880,True,0.128742,0.023350,0.014969,0.022538,0.050350,0.039849,5.12,20,-0.161822,0.284088,0.378919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014140,-0.180320,0.085656,-0.014880,0.012032,-0.005344
1781599897717385256,2026-06-16T15:51:37.717420,prediction,0.152836,-0.065000,-0.027333,True,0.132617,0.021680,0.017512,0.020218,0.086680,0.044846,5.56,20,-0.161822,0.284088,0.378919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014140,-0.180320,0.085656,-0.014880,0.012032,-0.005344
1781599897759665814,2026-06-16T15:51:37.759686,prediction,0.153204,-0.074000,-0.027914,True,0.130997,0.018544,0.017203,0.022207,0.092544,0.045117,5.08,20,-0.161822,0.284088,0.378919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013580,-0.177940,0.083913,-0.015040,0.012416,-0.005632
1781599897802632514,2026-06-16T15:51:37.802647,prediction,0.152836,-0.065000,-0.027333,True,0.129928,0.017835,0.016686,0.022907,0.082835,0.044019,4.46,20,-0.161822,0.284088,0.378919,0.000000,0.008285,0.023993,0.032284,0.002609,0.024426,0.016100,-0.018900,0.197208,0.007072,-0.001792,-0.037472
1781599897835138707,2026-06-16T15:51:37.835153,prediction,0.152242,-0.050500,-0.026397,True,0.132267,0.020168,0.016930,0.019975,0.070668,0.043327,4.56,20,-0.161822,0.284088,0.378919,0.000000,0.008285,0.023993,0.032284,0.002609,0.024426,0.016100,-0.018900,0.197208,0.007072,-0.001792,-0.037472
