ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781614024949537878,2026-06-16T19:47:04.949550,prediction,0.147363,-0.055000,-0.003100,True,0.122944,0.025000,0.035026,0.024420,0.080000,0.038126,3.48,20,-0.161963,0.280910,0.378599,0.001744,0.000000,0.000000,0.000000,0.002609,0.000000,-0.008960,-0.167580,0.081672,-0.030400,0.011648,-0.015424
1781614024990786287,2026-06-16T19:47:04.990804,prediction,0.141080,0.008000,0.000451,True,0.114944,0.033000,0.035587,0.026136,0.025000,0.035137,7.14,20,-0.161963,0.280910,0.378599,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005460,-0.166740,0.081921,-0.030720,0.012640,-0.014976
1781614025025147119,2026-06-16T19:47:05.025165,prediction,0.141381,-0.000000,0.003826,True,0.106944,0.041000,0.040389,0.034438,0.041000,0.036562,4.72,20,-0.162047,0.278004,0.378343,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005460,-0.164220,0.080344,-0.031072,0.013088,-0.014816
1781614025053415368,2026-06-16T19:47:05.053429,prediction,0.140101,0.034000,0.005687,True,0.098944,0.049000,0.044087,0.041158,0.015000,0.038401,3.84,20,-0.162047,0.278004,0.378343,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009520,-0.168000,0.079265,-0.031072,0.013760,-0.015648
1781614025085568875,2026-06-16T19:47:05.085583,prediction,0.140101,0.034000,0.005687,True,0.097185,0.057000,0.047425,0.042917,0.023000,0.041738,3.89,20,-0.162039,0.278286,0.378368,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006160,-0.167580,0.080676,-0.031392,0.013376,-0.014816
1781614025123934318,2026-06-16T19:47:05.123961,prediction,0.140741,0.017000,0.004757,True,0.098374,0.060888,0.048830,0.042367,0.043888,0.044073,3.79,20,-0.162039,0.278286,0.378368,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006160,-0.165480,0.080344,-0.031072,0.013824,-0.014816
1781614025151544364,2026-06-16T19:47:05.151563,prediction,0.140402,0.026000,0.005249,True,0.094665,0.068888,0.048036,0.045737,0.042888,0.042787,3.78,20,-0.161968,0.280748,0.378585,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006160,-0.168560,0.081506,-0.031392,0.013696,-0.014816
1781614025185946408,2026-06-16T19:47:05.185965,prediction,0.140402,0.026000,0.009033,True,0.098235,0.076310,0.050534,0.042168,0.050311,0.041501,3.93,20,-0.161968,0.280748,0.378585,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006160,-0.168560,0.081506,-0.031392,0.013696,-0.014816
1781614025221398166,2026-06-16T19:47:05.221416,prediction,0.141080,0.008000,0.008077,True,0.103464,0.074390,0.049655,0.037616,0.066390,0.041578,3.91,20,-0.161988,0.280061,0.378524,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006160,-0.168560,0.081506,-0.031392,0.013696,-0.014816
1781614025253561955,2026-06-16T19:47:05.253581,prediction,0.141381,-0.000000,0.011479,True,0.105214,0.067720,0.050934,0.036167,0.067720,0.039455,3.87,20,-0.161988,0.280061,0.378524,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006160,-0.168560,0.081506,-0.031392,0.013696,-0.014816
