ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781612346476626825,2026-06-16T19:19:06.476664,ground_truth,0.165590,-0.027000,-0.020876,True,,,,,,,,,-0.161991,0.280054,0.378521,0.000000,0.000000,0.000000,0.002609,0.000000,0.000000,-0.005880,-0.156240,0.035275,-0.014592,0.017440,-0.008256
1781612346509761968,2026-06-16T19:19:06.509783,ground_truth,0.166445,-0.045000,-0.022038,True,,,,,,,,,-0.161991,0.280054,0.378521,0.000000,0.000000,0.000000,0.002609,0.000000,0.000000,-0.005880,-0.156240,0.035275,-0.014592,0.017440,-0.008256
1781612346543976254,2026-06-16T19:19:06.543996,ground_truth,0.166018,-0.036000,-0.021457,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.002609,0.000000,0.000000,-0.005880,-0.156240,0.035275,-0.014592,0.017440,-0.008256
1781612346580123730,2026-06-16T19:19:06.580153,ground_truth,0.166445,-0.045000,-0.018138,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.002609,0.000000,0.000000,-0.006160,-0.157360,0.036188,-0.014880,0.017824,-0.008416
1781612346617377814,2026-06-16T19:19:06.617400,ground_truth,0.164735,-0.009000,-0.015872,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.002609,0.000000,0.000000,-0.006160,-0.157360,0.036188,-0.014880,0.017824,-0.008416
1781612346653294424,2026-06-16T19:19:06.653314,ground_truth,0.164735,-0.009000,-0.015872,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.002609,0.000000,0.000000,-0.006160,-0.157360,0.036188,-0.014880,0.017824,-0.008416
1781612346687638717,2026-06-16T19:19:06.687662,ground_truth,0.165590,-0.027000,-0.017005,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.002609,0.000000,0.000000,-0.006160,-0.157360,0.036188,-0.014880,0.017824,-0.008416
1781612346725254410,2026-06-16T19:19:06.725278,ground_truth,0.165163,-0.018000,-0.016438,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.155540,0.037184,-0.015200,0.017824,-0.009312
1781612346757141031,2026-06-16T19:19:06.757165,ground_truth,0.164308,-0.000000,-0.015306,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004900,-0.157080,0.039923,-0.015488,0.017600,-0.007584
1781612346795980268,2026-06-16T19:19:06.796001,ground_truth,0.166018,-0.036000,-0.013686,True,,,,,,,,,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004900,-0.157080,0.039923,-0.015488,0.017600,-0.007584
