ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781612497860179053,2026-06-16T19:21:37.860195,prediction,0.175657,-0.073000,-0.015953,True,0.095657,0.007000,0.026542,0.080000,0.080000,0.042495,4.00,20,-0.161991,0.280058,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003360,-0.151200,0.067811,-0.019552,0.018816,-0.008032
1781612497893413545,2026-06-16T19:21:37.893428,prediction,0.175657,-0.073000,-0.015953,True,0.098569,0.007000,0.029632,0.077088,0.080000,0.045585,3.84,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003360,-0.151200,0.067811,-0.019552,0.019200,-0.009312
1781612497930582504,2026-06-16T19:21:37.930601,prediction,0.178094,-0.121000,-0.018895,True,0.106569,-0.001000,0.030060,0.071525,0.120000,0.048955,5.25,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003360,-0.151200,0.067811,-0.019552,0.019200,-0.009312
1781612497958362892,2026-06-16T19:21:37.958382,prediction,0.176621,-0.092000,-0.017118,True,0.104579,-0.003200,0.029631,0.072042,0.088800,0.046748,3.81,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003360,-0.151200,0.067811,-0.019552,0.019200,-0.009312
1781612497995286643,2026-06-16T19:21:37.995318,prediction,0.177129,-0.102000,-0.017731,True,0.103873,-0.006960,0.031067,0.073257,0.095040,0.048798,4.27,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003360,-0.151200,0.067811,-0.019552,0.019200,-0.009312
1781612498030128396,2026-06-16T19:21:38.030148,prediction,0.176621,-0.092000,-0.017118,True,0.106907,-0.007968,0.032424,0.069714,0.084032,0.049542,4.61,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003360,-0.151200,0.067811,-0.019552,0.018656,-0.007584
1781612498070762456,2026-06-16T19:21:38.070795,prediction,0.178601,-0.131000,-0.015466,True,0.114907,-0.015968,0.031970,0.063694,0.115032,0.047436,6.33,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003360,-0.151200,0.068475,-0.019552,0.018880,-0.009536
1781612498134475003,2026-06-16T19:21:38.134501,prediction,0.176164,-0.083000,-0.012603,True,0.111159,-0.013375,0.032008,0.065006,0.069626,0.044611,5.90,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.003051,0.000000,-0.003080,-0.149940,0.069139,-0.019552,0.018496,-0.007808
1781612498184761421,2026-06-16T19:21:38.184793,prediction,0.177129,-0.102000,-0.013737,True,0.108659,-0.015100,0.032981,0.068470,0.086901,0.046717,9.05,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.003051,0.000000,-0.003080,-0.149940,0.069139,-0.019552,0.018496,-0.007808
1781612498222020554,2026-06-16T19:21:38.222046,prediction,0.178094,-0.121000,-0.014870,True,0.112127,-0.020280,0.033173,0.065966,0.100720,0.048043,9.69,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.003051,0.000000,-0.003080,-0.149940,0.069139,-0.019552,0.018496,-0.007808
1781612498260199447,2026-06-16T19:21:38.260221,prediction,0.176164,-0.083000,-0.012603,True,0.108935,-0.016824,0.032616,0.067230,0.066176,0.045220,8.84,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.003051,0.000000,-0.003080,-0.151900,0.068807,-0.019872,0.019040,-0.009632
1781612498323312677,2026-06-16T19:21:38.323330,prediction,0.177586,-0.111000,-0.014273,True,0.108635,-0.019659,0.033398,0.068951,0.091341,0.047671,7.52,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.001740,0.016137,0.000000,0.007847,0.060060,-0.140420,0.181438,0.010528,-0.006624,-0.035296
1781612498361400246,2026-06-16T19:21:38.361425,prediction,0.179126,-0.064000,-0.007539,True,0.106733,-0.012527,0.036126,0.072392,0.051473,0.043665,7.86,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.002178,0.005670,0.000000,0.005228,0.092960,-0.136080,0.214306,0.012928,-0.015648,-0.035680
1781612498403313352,2026-06-16T19:21:38.403334,prediction,0.178654,-0.055000,-0.007017,True,0.108465,-0.005022,0.037800,0.070189,0.049978,0.044817,5.55,20,-0.161988,0.280061,0.378524,0.003051,0.000000,0.003487,0.005228,0.000000,0.005228,0.098140,-0.127680,0.188327,0.013824,-0.031232,-0.034624
1781612498446987620,2026-06-16T19:21:38.447012,prediction,0.178094,-0.121000,-0.010845,True,0.113774,-0.012217,0.037329,0.064319,0.108783,0.048174,5.15,20,-0.161988,0.280061,0.378524,0.003051,0.000000,0.003487,0.005228,0.000000,0.005228,0.098140,-0.127680,0.188327,0.013824,-0.031232,-0.034624
1781612498485128217,2026-06-16T19:21:38.485152,prediction,0.180122,-0.083000,-0.008641,True,0.111044,-0.010374,0.035913,0.069078,0.072626,0.044554,4.80,20,-0.161988,0.280061,0.378524,0.003051,0.000000,0.003487,0.005228,0.000000,0.005228,0.098140,-0.127680,0.188327,0.013824,-0.031232,-0.034624
1781612498520570539,2026-06-16T19:21:38.520592,prediction,0.179126,-0.064000,-0.003607,True,0.112543,-0.005099,0.039466,0.066583,0.058901,0.043072,4.87,20,-0.161988,0.280061,0.378524,0.003051,0.000000,0.003487,0.005228,0.000000,0.005228,0.098140,-0.127680,0.188327,0.013824,-0.031232,-0.034624
1781612498560280739,2026-06-16T19:21:38.560303,prediction,0.182637,-0.131000,-0.007383,True,0.120543,-0.013099,0.041568,0.062095,0.117901,0.048951,5.62,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082740,-0.104720,0.169901,0.007808,-0.038912,-0.029888
1781612498602288170,2026-06-16T19:21:38.602309,prediction,0.180357,-0.087500,-0.004931,True,0.116506,-0.011979,0.042113,0.063852,0.075521,0.047044,5.02,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080780,-0.102900,0.166498,0.005856,-0.037120,-0.028448
1781612498644552841,2026-06-16T19:21:38.644571,prediction,0.179126,-0.064000,0.000325,True,0.114473,-0.006384,0.047446,0.064653,0.057617,0.047122,5.07,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080780,-0.102900,0.166498,0.005856,-0.037120,-0.028448
1781612498678661679,2026-06-16T19:21:38.678681,prediction,0.181589,-0.111000,0.001762,True,0.122473,-0.011307,0.051216,0.059116,0.099693,0.049454,4.97,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080780,-0.102900,0.166498,0.005856,-0.037120,-0.028448
1781612498716658126,2026-06-16T19:21:38.716682,prediction,0.184210,-0.161000,-0.000892,True,0.129578,-0.019307,0.051494,0.054632,0.141693,0.052386,6.40,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080780,-0.102900,0.166498,0.005856,-0.037120,-0.028448
1781612498756315231,2026-06-16T19:21:38.756340,prediction,0.179362,-0.068500,0.007956,True,0.123534,-0.013145,0.053279,0.055827,0.055355,0.045323,4.90,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071260,-0.087080,0.132966,-0.011360,-0.027104,-0.009920
1781612498792116173,2026-06-16T19:21:38.792141,prediction,0.180593,-0.092000,0.006748,True,0.119085,-0.012916,0.057698,0.061508,0.079084,0.050950,5.01,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
1781612498826628849,2026-06-16T19:21:38.826652,prediction,0.179597,-0.073000,0.007725,True,0.119051,-0.008933,0.059964,0.060547,0.064067,0.052239,4.97,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
1781612498860281995,2026-06-16T19:21:38.860307,prediction,0.177658,-0.036000,0.009628,True,0.117119,-0.000933,0.061130,0.060540,0.035067,0.051502,4.84,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
1781612498896475514,2026-06-16T19:21:38.896495,prediction,0.179597,-0.073000,0.011671,True,0.120529,0.000653,0.063820,0.059068,0.073654,0.052149,4.99,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
1781612498941080012,2026-06-16T19:21:38.941097,prediction,0.179126,-0.064000,0.012119,True,0.117783,0.003723,0.062866,0.061343,0.067723,0.050746,4.91,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
1781612498974968723,2026-06-16T19:21:38.974993,prediction,0.173778,-0.036000,0.013513,True,0.117493,0.011723,0.062234,0.056285,0.047723,0.048720,4.97,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
1781612499022080428,2026-06-16T19:21:39.022099,prediction,0.172407,-0.009000,0.014858,True,0.121311,0.019723,0.062653,0.051096,0.028723,0.047795,9.47,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
1781612499054734307,2026-06-16T19:21:39.054753,prediction,0.175657,-0.073000,0.015618,True,0.129311,0.017178,0.062596,0.046346,0.090178,0.046979,4.76,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
1781612499096635110,2026-06-16T19:21:39.096657,prediction,0.172407,-0.009000,0.018699,True,0.121930,0.025178,0.062062,0.050477,0.034178,0.043363,4.96,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,-0.085820,0.129812,-0.012640,-0.025728,-0.007584
