ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781608036778104560,2026-06-16T18:07:16.778122,prediction,0.112848,-0.083000,-0.036380,True,0.076937,-0.003000,0.006321,0.035911,0.080000,0.042701,3.52,20,-0.161753,0.289681,0.379498,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,0.044940,-0.145320,0.084826,-0.035520,0.018368,-0.008352
1781608036812658282,2026-06-16T18:07:16.812677,prediction,0.113534,-0.111000,-0.034317,True,0.076053,-0.008600,0.008965,0.037481,0.102400,0.043283,3.76,20,-0.161875,0.284708,0.378995,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,0.044940,-0.145320,0.084826,-0.035520,0.018368,-0.008352
1781608036847954431,2026-06-16T18:07:16.847968,prediction,0.112848,-0.083000,-0.032417,True,0.071637,-0.007480,0.011111,0.041210,0.075520,0.043529,3.91,20,-0.161875,0.284708,0.378995,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,0.044940,-0.145320,0.084826,-0.035520,0.018368,-0.008352
1781608036879799166,2026-06-16T18:07:16.879813,prediction,0.116805,-0.083000,-0.032417,True,0.073071,-0.006584,0.013240,0.043734,0.076416,0.045658,3.86,20,-0.161985,0.280179,0.378536,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,0.044940,-0.145320,0.084826,-0.035520,0.018368,-0.008352
1781608036913733256,2026-06-16T18:07:16.913746,prediction,0.117302,-0.102000,-0.033707,True,0.077355,-0.009667,0.013943,0.039947,0.092333,0.047650,3.60,20,-0.161985,0.280179,0.378536,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,0.044940,-0.145320,0.084826,-0.035520,0.018368,-0.008352
1781608036947604462,2026-06-16T18:07:16.947618,prediction,0.121012,-0.092000,-0.033028,True,0.080239,-0.010134,0.013142,0.040773,0.081866,0.046170,3.90,20,-0.162041,0.277857,0.378301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046480,-0.145600,0.084245,-0.035840,0.018496,-0.007744
1781608036981529195,2026-06-16T18:07:16.981547,prediction,0.119984,-0.055000,-0.030517,True,0.082733,-0.003107,0.014246,0.037251,0.051893,0.044763,4.14,20,-0.162041,0.277857,0.378301,0.000000,0.000000,0.000000,0.000000,0.002609,0.000000,0.046480,-0.143780,0.084245,-0.035840,0.019040,-0.010368
1781608037015933298,2026-06-16T18:07:17.015957,prediction,0.120234,-0.064000,-0.031128,True,0.085623,0.000714,0.015172,0.034611,0.064714,0.046301,3.80,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048300,-0.149940,0.079431,-0.035840,0.019104,-0.010304
1781608037045803250,2026-06-16T18:07:17.045818,prediction,0.120484,-0.073000,-0.031739,True,0.089146,0.001971,0.015033,0.031338,0.074972,0.046772,3.85,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049280,-0.162680,0.068641,-0.035232,0.020832,-0.009856
1781608037082141225,2026-06-16T18:07:17.082156,prediction,0.124425,-0.073000,-0.031739,True,0.092112,0.002977,0.014069,0.032313,0.075977,0.045808,4.06,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049280,-0.162680,0.068641,-0.035232,0.020832,-0.009856
1781608037111638446,2026-06-16T18:07:17.111654,prediction,0.125544,-0.111000,-0.034317,True,0.096759,-0.003818,0.012554,0.028785,0.107182,0.046871,3.96,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049280,-0.162680,0.068641,-0.035232,0.020832,-0.009856
1781608037152428591,2026-06-16T18:07:17.152444,prediction,0.125279,-0.102000,-0.029713,True,0.095359,-0.007455,0.012555,0.029920,0.094545,0.042268,3.83,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049280,-0.162680,0.068641,-0.035232,0.020832,-0.009856
1781608037184345726,2026-06-16T18:07:17.184360,prediction,0.124720,-0.083000,-0.028455,True,0.097207,-0.006564,0.012445,0.027513,0.076436,0.040900,3.81,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054740,-0.184660,0.042330,-0.033120,0.027904,-0.011200
1781608037217553474,2026-06-16T18:07:17.217566,prediction,0.128366,-0.073000,-0.027792,True,0.104662,-0.003851,0.012782,0.023704,0.069149,0.040574,3.92,20,-0.161988,0.280061,0.378524,0.004796,0.018320,0.031413,0.013517,0.037523,0.010898,0.099120,-0.271460,-0.004482,0.007360,0.047264,-0.037344
1781608037255830973,2026-06-16T18:07:17.255850,prediction,0.128366,-0.073000,-0.023846,True,0.110871,-0.001681,0.014273,0.017495,0.071319,0.038119,4.10,20,-0.161988,0.280061,0.378524,0.005233,0.019634,0.037086,0.013517,0.043193,0.010898,0.097020,-0.276080,-0.016351,0.010464,0.048384,-0.037248
