ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781604219602317828,2026-06-16T17:03:39.602343,prediction,0.162899,-0.141000,-0.052586,True,0.113579,-0.061000,-0.009589,0.049320,0.080000,0.042996,4.78,20,-0.161928,0.281113,0.378622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005460,-0.118720,0.064657,-0.021984,0.017440,-0.005184
1781604219639559543,2026-06-16T17:03:39.639579,prediction,0.162899,-0.141000,-0.052586,True,0.115705,-0.061000,-0.009791,0.047195,0.080000,0.042794,5.56,20,-0.161928,0.281113,0.378622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005460,-0.118720,0.064657,-0.021984,0.017440,-0.005184
1781604219671863168,2026-06-16T17:03:39.671877,prediction,0.160335,-0.083000,-0.048269,True,0.116621,-0.053000,-0.008369,0.043714,0.030000,0.039900,5.69,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005460,-0.118720,0.064657,-0.021984,0.017440,-0.005184
1781604219712481430,2026-06-16T17:03:39.712501,prediction,0.161794,-0.116000,-0.050725,True,0.115109,-0.049600,-0.005916,0.046685,0.066400,0.044809,4.60,20,-0.161988,0.280061,0.378524,0.000000,0.001744,0.000000,0.000000,0.000000,0.000000,-0.010220,-0.117180,0.064823,-0.022272,0.018272,-0.007360
1781604219752162557,2026-06-16T17:03:39.752188,prediction,0.160733,-0.092000,-0.048938,True,0.108234,-0.042080,-0.004073,0.052500,0.049920,0.044866,4.76,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008960,-0.119280,0.064657,-0.022112,0.018272,-0.007200
1781604219788163650,2026-06-16T17:03:39.788181,prediction,0.160733,-0.092000,-0.048938,True,0.106482,-0.036064,-0.001145,0.054251,0.055936,0.047794,4.92,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008960,-0.119280,0.064657,-0.022112,0.018272,-0.007200
1781604219831035801,2026-06-16T17:03:39.831052,prediction,0.161175,-0.102000,-0.049683,True,0.109958,-0.033251,0.000579,0.051217,0.068749,0.050262,4.67,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008960,-0.119280,0.064657,-0.022112,0.018272,-0.007200
1781604219862877613,2026-06-16T17:03:39.862896,prediction,0.160733,-0.092000,-0.048938,True,0.111618,-0.029001,0.000407,0.049115,0.062999,0.049346,4.95,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009520,-0.117460,0.064657,-0.021824,0.018272,-0.007520
1781604219896522920,2026-06-16T17:03:39.896538,prediction,0.160733,-0.092000,-0.048938,True,0.115635,-0.025601,0.000191,0.045098,0.066399,0.049130,4.62,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007700,-0.119280,0.063329,-0.021664,0.017760,-0.006464
1781604219928496810,2026-06-16T17:03:39.928518,prediction,0.161175,-0.102000,-0.049683,True,0.118843,-0.024881,-0.001677,0.042333,0.077120,0.048006,4.77,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007700,-0.119280,0.064657,-0.021664,0.017664,-0.006464
1781604219961513176,2026-06-16T17:03:39.961536,prediction,0.163834,-0.073000,-0.047524,True,0.124709,-0.018505,-0.003334,0.039125,0.054496,0.044190,5.00,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007700,-0.119280,0.064657,-0.021664,0.017664,-0.006464
