ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,filt_x,filt_y,filt_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,role
1786690315271730023,2026-08-14T13:51:55.271746,ground_truth,-0.588965,-2.993000,-0.322005,,,,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315331569896,2026-08-14T13:51:55.331591,ground_truth,-0.593900,-2.993000,-0.317060,-0.588965,-2.993000,-0.322005,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315364892350,2026-08-14T13:51:55.364923,ground_truth,-0.592412,-2.985500,-0.316265,-0.593900,-2.993000,-0.317060,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315393416405,2026-08-14T13:51:55.393440,ground_truth,-0.592412,-2.985500,-0.316265,-0.592412,-2.993000,-0.316265,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315422254830,2026-08-14T13:51:55.422272,ground_truth,-0.592412,-2.985500,-0.316265,-0.592412,-2.987000,-0.316265,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315447114198,2026-08-14T13:51:55.447130,ground_truth,-0.595834,-2.978000,-0.310551,-0.592020,-2.989400,-0.317572,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315478518164,2026-08-14T13:51:55.478546,ground_truth,-0.598835,-2.993000,-0.312115,-0.592655,-2.989280,-0.316402,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315513298177,2026-08-14T13:51:55.513348,ground_truth,-0.598835,-2.993000,-0.312115,-0.593538,-2.988827,-0.315790,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315546277957,2026-08-14T13:51:55.546304,ground_truth,-0.595834,-2.978000,-0.310551,-0.594200,-2.989166,-0.315330,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315580753479,2026-08-14T13:51:55.580785,ground_truth,-0.598835,-2.993000,-0.312115,-0.594382,-2.989566,-0.314799,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315615897466,2026-08-14T13:51:55.615920,ground_truth,-0.600744,-2.978000,-0.310551,-0.594827,-2.989913,-0.314531,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315646489595,2026-08-14T13:51:55.646518,ground_truth,-0.600744,-2.978000,-0.305631,-0.595365,-2.989110,-0.314169,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315680862822,2026-08-14T13:51:55.680881,ground_truth,-0.603770,-2.993000,-0.307171,-0.595813,-2.988222,-0.313458,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315714679588,2026-08-14T13:51:55.714707,ground_truth,-0.603770,-2.993000,-0.307171,-0.596425,-2.987429,-0.312974,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315746175991,2026-08-14T13:51:55.746199,ground_truth,-0.603770,-2.993000,-0.307171,-0.596950,-2.987600,-0.312560,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315782143948,2026-08-14T13:51:55.782161,ground_truth,-0.600744,-2.978000,-0.310551,-0.597405,-2.987920,-0.312200,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315814683560,2026-08-14T13:51:55.814706,ground_truth,-0.598835,-2.993000,-0.317060,-0.598190,-2.987984,-0.311437,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315847432190,2026-08-14T13:51:55.847454,ground_truth,-0.598835,-2.993000,-0.317060,-0.598519,-2.987997,-0.311437,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315879340357,2026-08-14T13:51:55.879378,ground_truth,-0.598835,-2.993000,-0.317060,-0.598947,-2.987999,-0.311490,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315911765701,2026-08-14T13:51:55.911780,ground_truth,-0.598835,-2.993000,-0.317060,-0.599375,-2.988400,-0.311543,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315945875526,2026-08-14T13:51:55.945897,ground_truth,-0.598835,-2.993000,-0.317060,-0.599804,-2.988880,-0.311596,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
1786690315980661320,2026-08-14T13:51:55.980685,ground_truth,-0.590923,-2.978000,-0.315471,-0.600004,-2.989376,-0.312030,True,,,,,,,,,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,FOLLOWER
