ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,filt_x,filt_y,filt_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,role
1786699247818421672,2026-08-14T16:20:47.818435,prediction,0.201607,-0.309000,0.012229,0.200248,-0.297000,0.013144,True,0.198940,-0.266291,0.011846,0.001308,0.030709,0.001298,38.69,10,-0.161989,0.308961,0.388253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017920,-0.165200,0.073123,-0.015200,0.025888,-0.010144,READY
1786699247860478488,2026-08-14T16:20:47.860505,prediction,0.202965,-0.321000,0.011315,0.200248,-0.297000,0.013144,True,0.199027,-0.266566,0.012077,0.001221,0.030434,0.001066,40.63,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017360,-0.166740,0.074285,-0.015040,0.025824,-0.010144,READY
1786699247891771243,2026-08-14T16:20:47.891804,prediction,0.202965,-0.321000,0.011315,0.200248,-0.297000,0.013144,True,0.199101,-0.267161,0.012091,0.001147,0.029839,0.001053,30.17,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017360,-0.166740,0.074285,-0.015040,0.025824,-0.010144,READY
1786699247943488053,2026-08-14T16:20:47.943501,prediction,0.200248,-0.297000,0.013144,0.200248,-0.297000,0.013144,True,0.199194,-0.267782,0.012053,0.001054,0.029217,0.001090,44.15,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017360,-0.166740,0.074285,-0.015040,0.025824,-0.010144,READY
1786699247976563195,2026-08-14T16:20:47.976584,prediction,0.201607,-0.309000,0.007744,0.200248,-0.297000,0.013144,True,0.199266,-0.268349,0.011984,0.000982,0.028651,0.001160,32.57,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017360,-0.166740,0.074285,-0.015040,0.025824,-0.010144,READY
1786699248007637671,2026-08-14T16:20:48.007663,prediction,0.194927,-0.250000,0.012337,0.200248,-0.297000,0.013144,True,0.199289,-0.268749,0.011918,0.000959,0.028251,0.001225,30.67,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018200,-0.166740,0.074285,-0.014880,0.025824,-0.010816,READY
1786699248037425797,2026-08-14T16:20:48.037449,prediction,0.198890,-0.285000,0.009612,0.200248,-0.297000,0.013144,True,0.199311,-0.269026,0.011840,0.000937,0.027974,0.001304,27.63,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018200,-0.166740,0.074285,-0.014880,0.025824,-0.010816,FOLLOWER
1786699248061363194,2026-08-14T16:20:48.061410,prediction,0.198890,-0.285000,0.009612,0.200248,-0.297000,0.013144,True,0.199342,-0.269228,0.011761,0.000906,0.027772,0.001383,23.45,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018200,-0.166740,0.074285,-0.014880,0.025824,-0.010816,FOLLOWER
1786699248087338026,2026-08-14T16:20:48.087361,prediction,0.193569,-0.238000,0.017639,0.200248,-0.297000,0.013144,True,0.199334,-0.269379,0.011693,0.000914,0.027621,0.001451,20.63,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018200,-0.166740,0.074285,-0.014880,0.025824,-0.010816,FOLLOWER
1786699248119736872,2026-08-14T16:20:48.119757,prediction,0.192323,-0.227000,0.018477,0.200248,-0.297000,0.013144,True,0.199352,-0.269516,0.011635,0.000897,0.027484,0.001509,24.04,10,-0.161989,0.308963,0.388256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018200,-0.166740,0.074285,-0.014880,0.025824,-0.010816,FOLLOWER
