ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1786086806564480619,2026-08-07T14:13:26.564498,prediction,0.027345,0.014000,-0.009074,True,0.053320,-0.044281,-0.008041,0.025975,0.058281,0.001033,33.25,10,-0.161994,0.280053,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806600813194,2026-08-07T14:13:26.600856,prediction,0.026697,-0.042000,-0.013610,True,0.052794,-0.036281,-0.007010,0.026098,0.005719,0.006600,35.55,10,-0.161994,0.280053,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806630620515,2026-08-07T14:13:26.630633,prediction,0.026697,-0.042000,-0.013610,True,0.052841,-0.036199,-0.007069,0.026145,0.005801,0.006541,29.85,10,-0.167003,0.271404,0.378897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806661949720,2026-08-07T14:13:26.661966,prediction,0.026176,-0.087000,-0.017255,True,0.053271,-0.044199,-0.007855,0.027096,0.042801,0.009400,29.26,10,-0.167003,0.271404,0.378897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806700791790,2026-08-07T14:13:26.700811,prediction,0.027264,0.007000,-0.009641,True,0.052990,-0.037285,-0.007359,0.025727,0.044285,0.002281,35.19,10,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806732344804,2026-08-07T14:13:26.732379,prediction,0.027264,0.007000,-0.009641,True,0.052590,-0.029285,-0.006620,0.025326,0.036285,0.003021,29.26,10,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806766819015,2026-08-07T14:13:26.766832,prediction,0.027264,0.007000,-0.009641,True,0.052452,-0.025011,-0.006295,0.025188,0.032011,0.003346,32.42,10,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806799263170,2026-08-07T14:13:26.799306,prediction,0.026697,-0.042000,-0.010138,True,0.052174,-0.017325,-0.005731,0.025477,0.024675,0.004407,31.20,10,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806833087993,2026-08-07T14:13:26.833155,prediction,0.026778,-0.035000,-0.009583,True,0.052286,-0.021114,-0.005332,0.025508,0.013886,0.004251,32.14,10,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1786086806862659172,2026-08-07T14:13:26.862698,prediction,0.026778,-0.035000,-0.009583,True,0.052325,-0.022902,-0.004920,0.025547,0.012098,0.004662,29.49,10,-0.162001,0.280055,0.378533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan
