ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,filt_x,filt_y,filt_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,role
1786698099509780393,2026-08-14T16:01:39.509817,prediction,0.205870,-0.245500,-0.008632,0.199867,-0.212137,-0.008206,True,-0.152754,0.597163,0.002208,0.352621,0.809300,0.010414,22.60,10,-0.161987,0.308964,0.388257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030660,-0.179760,0.067479,-0.007072,0.025504,-0.009248,OFF
1786698099544314117,2026-08-14T16:01:39.544332,prediction,0.194961,-0.196000,-0.004533,0.194961,-0.205900,-0.004533,True,-0.132754,0.577163,-0.004522,0.327715,0.783063,0.000011,23.35,10,-0.161989,0.308961,0.388258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029120,-0.179760,0.066898,-0.007072,0.025280,-0.008352,OFF
1786698099577764703,2026-08-14T16:01:39.577782,prediction,0.214355,-0.284000,-0.011820,0.214355,-0.268380,-0.011820,True,-0.112754,0.557163,-0.011075,0.327110,0.825543,0.000745,26.86,10,-0.161989,0.308961,0.388258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029120,-0.179760,0.066898,-0.007072,0.025280,-0.008352,OFF
1786698099603308849,2026-08-14T16:01:39.603358,prediction,0.207082,-0.251000,-0.009087,0.207082,-0.254476,-0.009087,True,-0.092754,0.537163,-0.008884,0.299837,0.791639,0.000203,18.24,10,-0.160413,0.310536,0.388167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029120,-0.179760,0.066898,-0.007072,0.025280,-0.008352,OFF
1786698099635488023,2026-08-14T16:01:39.635516,prediction,0.209507,-0.262000,-0.009998,0.209507,-0.260495,-0.009998,True,-0.072754,0.517163,-0.009573,0.282261,0.777658,0.000425,18.74,10,-0.160413,0.310536,0.388167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029120,-0.179760,0.066898,-0.007072,0.025280,-0.008352,OFF
1786698099672665450,2026-08-14T16:01:39.672685,prediction,0.211931,-0.273000,-0.010909,0.205870,-0.245500,-0.008632,True,-0.052754,0.497163,-0.008363,0.258625,0.742663,0.000269,20.39,10,-0.157250,0.313699,0.388136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029120,-0.179760,0.066898,-0.007072,0.025280,-0.008352,OFF
1786698099706443889,2026-08-14T16:01:39.706472,prediction,0.199809,-0.218000,-0.006355,0.205870,-0.245500,-0.008632,True,-0.032754,0.477163,-0.008303,0.238625,0.722663,0.000329,20.83,10,-0.157250,0.313699,0.388136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029120,-0.179760,0.066898,-0.007072,0.025280,-0.008352,OFF
1786698099734382531,2026-08-14T16:01:39.734417,prediction,0.193859,-0.191000,-0.004119,0.205870,-0.245500,-0.008632,True,-0.012754,0.457163,-0.008322,0.218625,0.702663,0.000310,16.84,10,-0.152545,0.318405,0.388121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029120,-0.179760,0.066898,-0.007072,0.025280,-0.008352,OFF
1786698099778965959,2026-08-14T16:01:39.778987,prediction,0.202234,-0.229000,-0.007266,0.205870,-0.245500,-0.008632,True,0.007246,0.437163,-0.008308,0.198625,0.682663,0.000324,19.07,10,-0.152545,0.318405,0.388121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.027160,-0.179480,0.066234,-0.007808,0.024832,-0.008960,OFF
1786698099803773235,2026-08-14T16:01:39.803850,prediction,0.196955,-0.186000,-0.003705,0.205870,-0.245500,-0.008632,True,0.027246,0.417163,-0.008322,0.178625,0.662663,0.000310,18.30,10,-0.161989,0.308961,0.388258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.026600,-0.177520,0.068641,-0.007808,0.024832,-0.009536,OFF
