ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,filt_x,filt_y,filt_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,target_x,target_y,target_z,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,role
1786957325282915635,2026-08-17T16:02:05.282955,prediction,0.087737,-0.266000,0.010361,0.086169,-0.289000,0.009559,True,0.166169,-0.282973,0.001133,0.078432,0.016973,0.009228,16.26,10,0.035225,1.031894,0.708467,-0.161988,0.308964,0.388243,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017360,-0.170380,0.081340,-0.020160,0.023552,-0.010976,OFF
1786957325328941582,2026-08-17T16:02:05.328966,prediction,0.088486,-0.255000,0.010745,0.086169,-0.289000,0.009559,True,0.166169,-0.283037,0.001274,0.077682,0.028036,0.009471,23.18,10,-0.161989,0.308963,0.388257,-0.161988,0.308964,0.388243,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017360,-0.170380,0.081340,-0.020160,0.023552,-0.010976,OFF
1786957325354558695,2026-08-17T16:02:05.354575,prediction,0.088486,-0.255000,0.010745,0.086169,-0.289000,0.009559,True,0.166169,-0.283025,0.001291,0.077682,0.028025,0.009454,16.86,10,-0.161989,0.308963,0.388257,-0.161989,0.308963,0.388257,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017360,-0.170380,0.081340,-0.020160,0.023552,-0.010976,OFF
1786957325389362120,2026-08-17T16:02:05.389381,prediction,0.088486,-0.255000,0.010745,0.086169,-0.289000,0.009559,True,0.166169,-0.282979,0.001263,0.077682,0.027978,0.009482,21.99,10,-0.161989,0.308963,0.388257,-0.161989,0.308963,0.388257,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017360,-0.170380,0.081340,-0.020160,0.023552,-0.010976,OFF
1786957325424575418,2026-08-17T16:02:05.424595,prediction,0.089986,-0.233000,0.011513,0.086169,-0.289000,0.009559,True,0.166169,-0.282927,0.001210,0.076183,0.049927,0.010302,20.86,10,-0.161989,0.308963,0.388257,-0.161989,0.308963,0.388257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018480,-0.169260,0.079431,-0.019264,0.023328,-0.011264,OFF
1786957325451566512,2026-08-17T16:02:05.451588,prediction,0.094417,-0.168000,0.013781,0.086169,-0.289000,0.009559,True,0.166169,-0.282883,0.001148,0.071752,0.114883,0.012633,15.87,10,-0.161989,0.308963,0.388257,-0.161989,0.308963,0.388257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018480,-0.168840,0.079431,-0.018944,0.023264,-0.010816,OFF
1786957325483261075,2026-08-17T16:02:05.483274,prediction,0.089521,-0.178000,0.013432,0.086169,-0.289000,0.009559,True,0.166169,-0.282856,0.001083,0.076648,0.104856,0.012348,15.14,10,-0.161989,0.308963,0.388257,-0.161989,0.308963,0.388257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014560,-0.170380,0.079431,-0.018496,0.023040,-0.009696,OFF
1786957325515115630,2026-08-17T16:02:05.515129,prediction,0.092453,-0.136000,0.014897,0.089947,-0.244300,0.012027,True,0.167155,-0.262856,0.005135,0.074702,0.126856,0.009762,14.43,10,-0.161989,0.308963,0.388257,-0.161989,0.308963,0.388257,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017640,-0.168560,0.080510,-0.018816,0.023552,-0.011040,OFF
1786957325557179926,2026-08-17T16:02:05.557200,prediction,0.084913,-0.244000,0.015461,0.089387,-0.230460,0.012409,True,0.163278,-0.242856,0.005864,0.078365,0.001144,0.009597,23.55,10,-0.211989,0.314997,0.380391,-0.163859,0.309707,0.387288,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017640,-0.168560,0.080510,-0.018816,0.023552,-0.011040,OFF
1786957325597976652,2026-08-17T16:02:05.598004,prediction,0.088753,-0.189000,0.017289,0.089324,-0.224652,0.012897,True,0.161493,-0.222856,0.006460,0.072740,0.033856,0.010829,25.81,10,-0.241778,0.316787,0.380854,-0.163859,0.309707,0.387288,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017640,-0.168560,0.080510,-0.018816,0.023552,-0.011040,OFF
1786957325619231229,2026-08-17T16:02:05.619263,prediction,0.088753,-0.189000,0.017289,0.089272,-0.221003,0.013296,True,0.160413,-0.220330,0.006936,0.071660,0.031330,0.010353,16.40,10,-0.241331,0.320175,0.381285,-0.167916,0.310718,0.386415,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017640,-0.168560,0.080510,-0.018816,0.023552,-0.011040,OFF
1786957325652713543,2026-08-17T16:02:05.652746,prediction,0.084145,-0.255000,0.023795,0.088845,-0.218201,0.014171,True,0.159785,-0.218980,0.007804,0.075641,0.036020,0.015990,16.72,10,-0.240868,0.324786,0.381680,-0.167916,0.310718,0.386415,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.017640,-0.168560,0.080510,-0.018816,0.023552,-0.011040,OFF
1786957325688567499,2026-08-17T16:02:05.688600,prediction,0.085681,-0.233000,0.024453,0.088601,-0.218594,0.014962,True,0.159947,-0.220610,0.008545,0.074266,0.012390,0.015909,19.66,10,-0.240429,0.329155,0.382082,-0.174115,0.312329,0.385663,0.001744,0.000000,0.000000,0.000000,0.005228,0.000000,0.021280,-0.210980,0.045567,-0.012928,0.058336,-0.020544,OFF
1786957325716283059,2026-08-17T16:02:05.716303,prediction,0.086449,-0.222000,0.024783,0.088448,-0.219490,0.015663,True,0.160192,-0.222458,0.009182,0.073743,0.000458,0.015600,16.29,10,-0.240071,0.332944,0.382479,-0.174115,0.312329,0.385663,0.000000,0.000000,0.001740,0.002609,0.021375,0.000000,0.028140,-0.276080,-0.012450,0.000800,0.047264,-0.042816,OFF
1786957325751218553,2026-08-17T16:02:05.751237,prediction,0.084145,-0.255000,0.028145,0.088161,-0.220378,0.016495,True,0.160509,-0.224073,0.009919,0.076364,0.030927,0.018226,17.32,10,-0.239781,0.336186,0.382865,-0.182291,0.315046,0.385122,0.000000,0.001744,0.002178,0.000000,0.021807,0.005228,0.036260,-0.274540,-0.042662,0.014208,0.045760,-0.040480,OFF
1786957325786629685,2026-08-17T16:02:05.786647,prediction,0.083377,-0.266000,0.032201,0.087870,-0.219969,0.017951,True,0.160420,-0.224175,0.011323,0.077043,0.041825,0.020878,17.81,10,-0.239551,0.338888,0.383248,-0.182291,0.315046,0.385122,0.000000,0.005233,0.005666,0.002609,0.029665,0.007847,0.059780,-0.249760,0.003984,0.037792,0.042368,-0.037568,OFF
