ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1781606727744196969,2026-06-16T17:45:27.744223,prediction,0.183538,-0.073000,0.011671,True,0.189729,0.007000,0.056094,0.006191,0.080000,0.044423,10.33,20,-0.161991,0.280053,0.378520,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.003360,-0.164920,0.037350,-0.022720,0.023840,-0.008864
1781606727780395027,2026-06-16T17:45:27.780417,prediction,0.182565,-0.055000,0.012567,True,0.181729,0.010600,0.053317,0.000836,0.065600,0.040749,9.36,20,-0.161991,0.280053,0.378520,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.003360,-0.164920,0.037350,-0.022720,0.023840,-0.008864
1781606727824443160,2026-06-16T17:45:27.824463,prediction,0.181538,-0.036000,0.017399,True,0.177045,0.017280,0.057929,0.004494,0.053280,0.040530,8.49,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.003360,-0.164920,0.037350,-0.022720,0.023840,-0.008864
1781606727858124163,2026-06-16T17:45:27.858173,prediction,0.181052,-0.027000,0.021703,True,0.177667,0.024424,0.062094,0.003385,0.051424,0.040391,8.71,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.002609,-0.003360,-0.164920,0.037184,-0.022720,0.023328,-0.007904
1781606727892070578,2026-06-16T17:45:27.892095,prediction,0.182025,-0.045000,0.020866,True,0.179807,0.026539,0.062257,0.002218,0.071539,0.041391,8.53,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.002609,-0.003360,-0.164920,0.037184,-0.022720,0.023328,-0.007904
1781606727923826519,2026-06-16T17:45:27.923848,prediction,0.182025,-0.045000,0.020866,True,0.174110,0.028231,0.060146,0.007915,0.073231,0.039279,7.21,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.002609,-0.003360,-0.164920,0.037184,-0.022720,0.023328,-0.007904
1781606727952448360,2026-06-16T17:45:27.952470,prediction,0.177658,-0.036000,0.025170,True,0.168419,0.031385,0.065455,0.009239,0.067385,0.040285,4.82,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.002609,-0.003360,-0.164920,0.037184,-0.022720,0.023328,-0.007904
1781606727984090098,2026-06-16T17:45:27.984109,prediction,0.177186,-0.027000,0.029445,True,0.171496,0.035708,0.069879,0.005691,0.062708,0.040434,4.53,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.002609,-0.003360,-0.164500,0.039757,-0.022784,0.023040,-0.007424
1781606728014275013,2026-06-16T17:45:28.014296,prediction,0.176243,-0.009000,0.034064,True,0.170510,0.042766,0.072224,0.005733,0.051766,0.038160,4.13,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.002609,-0.002380,-0.164220,0.041334,-0.022784,0.022720,-0.008864
1781606728048853202,2026-06-16T17:45:28.048888,prediction,0.176715,-0.018000,0.033690,True,0.171102,0.046613,0.071691,0.005612,0.064613,0.038001,4.12,20,-0.161988,0.280061,0.378524,0.000000,0.000000,0.000000,0.000000,0.002609,0.002609,-0.002380,-0.164220,0.041334,-0.022784,0.022720,-0.008864
