[0.000000] (-) TimerEvent: {}
[0.000115] (-) JobUnselected: {'identifier': 'coord_transform'}
[0.000160] (-) JobUnselected: {'identifier': 'experiment_logger'}
[0.000172] (-) JobUnselected: {'identifier': 'hc10dtp_bringup'}
[0.000181] (-) JobUnselected: {'identifier': 'hc10dtp_moveit_config'}
[0.000190] (-) JobUnselected: {'identifier': 'hc10dtp_simulation'}
[0.000199] (-) JobUnselected: {'identifier': 'hrc_bringup'}
[0.000209] (-) JobUnselected: {'identifier': 'human_hand_msgs'}
[0.000220] (-) JobUnselected: {'identifier': 'motoman'}
[0.000230] (-) JobUnselected: {'identifier': 'motoman_ar2010_support'}
[0.000239] (-) JobUnselected: {'identifier': 'motoman_es_support'}
[0.000248] (-) JobUnselected: {'identifier': 'motoman_gp110_support'}
[0.000257] (-) JobUnselected: {'identifier': 'motoman_gp12_support'}
[0.000266] (-) JobUnselected: {'identifier': 'motoman_gp165r_support'}
[0.000274] (-) JobUnselected: {'identifier': 'motoman_gp180_support'}
[0.000282] (-) JobUnselected: {'identifier': 'motoman_gp200r_support'}
[0.000292] (-) JobUnselected: {'identifier': 'motoman_gp20hl_support'}
[0.000310] (-) JobUnselected: {'identifier': 'motoman_gp215_support'}
[0.000319] (-) JobUnselected: {'identifier': 'motoman_gp225_support'}
[0.000328] (-) JobUnselected: {'identifier': 'motoman_gp250_support'}
[0.000336] (-) JobUnselected: {'identifier': 'motoman_gp25_support'}
[0.000345] (-) JobUnselected: {'identifier': 'motoman_gp35l_support'}
[0.000353] (-) JobUnselected: {'identifier': 'motoman_gp4_support'}
[0.000361] (-) JobUnselected: {'identifier': 'motoman_gp50_support'}
[0.000372] (-) JobUnselected: {'identifier': 'motoman_gp70l_support'}
[0.000381] (-) JobUnselected: {'identifier': 'motoman_gp7_support'}
[0.000389] (-) JobUnselected: {'identifier': 'motoman_gp88_support'}
[0.000397] (-) JobUnselected: {'identifier': 'motoman_gp8_support'}
[0.000406] (-) JobUnselected: {'identifier': 'motoman_gp8l_support'}
[0.000414] (-) JobUnselected: {'identifier': 'motoman_hc20_support'}
[0.000422] (-) JobUnselected: {'identifier': 'motoman_ma2010_support'}
[0.000430] (-) JobUnselected: {'identifier': 'motoman_mh110_support'}
[0.000439] (-) JobUnselected: {'identifier': 'motoman_mh12_support'}
[0.000449] (-) JobUnselected: {'identifier': 'motoman_mh50_support'}
[0.000458] (-) JobUnselected: {'identifier': 'motoman_mh5_support'}
[0.000466] (-) JobUnselected: {'identifier': 'motoman_motomini_support'}
[0.000474] (-) JobUnselected: {'identifier': 'motoman_motopos_d500_support'}
[0.000483] (-) JobUnselected: {'identifier': 'motoman_motopos_mh1655_support'}
[0.000491] (-) JobUnselected: {'identifier': 'motoman_mpx1950_support'}
[0.000499] (-) JobUnselected: {'identifier': 'motoman_ms210_support'}
[0.000507] (-) JobUnselected: {'identifier': 'motoman_resources'}
[0.000518] (-) JobUnselected: {'identifier': 'motoman_sda10f_support'}
[0.000526] (-) JobUnselected: {'identifier': 'motoman_sia10d_support'}
[0.000534] (-) JobUnselected: {'identifier': 'motoman_sia10f_support'}
[0.000543] (-) JobUnselected: {'identifier': 'motoman_sia20d_support'}
[0.000551] (-) JobUnselected: {'identifier': 'motoman_sia30d_support'}
[0.000559] (-) JobUnselected: {'identifier': 'motoman_sia50_support'}
[0.000568] (-) JobUnselected: {'identifier': 'motoman_sia5d_support'}
[0.000576] (-) JobUnselected: {'identifier': 'motoman_up50n_support'}
[0.000583] (-) JobUnselected: {'identifier': 'predictor_ui'}
[0.000604] (-) JobUnselected: {'identifier': 'realsense_tracker'}
[0.000612] (-) JobUnselected: {'identifier': 'trajectory_predictor'}
[0.000623] (motoman_hc10_support) JobQueued: {'identifier': 'motoman_hc10_support', 'dependencies': OrderedDict([('motoman_resources', '/home/hungnb/cocarry_ws/install/motoman_resources')])}
[0.000639] (motoman_hc10dtp_support) JobQueued: {'identifier': 'motoman_hc10dtp_support', 'dependencies': OrderedDict([('motoman_resources', '/home/hungnb/cocarry_ws/install/motoman_resources'), ('motoman_hc10_support', '/home/hungnb/cocarry_ws/install/motoman_hc10_support')])}
[0.000651] (motoman_hc10_support) JobStarted: {'identifier': 'motoman_hc10_support'}
[0.014506] (motoman_hc10_support) JobEnded: {'identifier': 'motoman_hc10_support', 'rc': 1}
[0.025027] (motoman_hc10dtp_support) JobSkipped: {'identifier': 'motoman_hc10dtp_support'}
[0.025132] (-) EventReactorShutdown: {}
